aded25,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,gen25tot,win25
23001,59,502,277,0,7,845,gen25ac
23002,60,487,294,0,5,846,gen25ac
23003,25,135,136,0,2,298,gen25cs
23004,102,757,226,3,4,1092,gen25ac
23005,82,731,274,1,3,1091,gen25ac
23006,118,660,291,2,3,1074,gen25ac
23007,148,629,362,4,15,1158,gen25ac
23008,80,167,128,0,2,377,gen25ac
23009,76,97,55,0,1,229,gen25ac
23010,94,227,156,0,2,479,gen25ac
23011,172,140,51,3,1,367,gen25zm
23012,95,51,23,2,1,172,gen25zm
23013,208,168,81,0,2,459,gen25zm
23014,154,269,134,1,4,562,gen25ac
23015,93,172,82,1,3,351,gen25ac
23016,101,156,76,2,2,337,gen25ac
23017,62,318,209,2,3,594,gen25ac
23018,320,239,69,4,1,633,gen25zm
23019,45,25,4,0,2,76,gen25zm
23020,128,68,11,2,2,211,gen25zm
23021,59,183,14,2,5,263,gen25ac
23022,32,23,4,0,0,59,gen25zm
23023,55,131,21,5,4,216,gen25ac
23024,81,78,7,1,1,168,gen25zm
23025,156,384,27,6,3,576,gen25ac
23026,99,198,19,6,4,326,gen25ac
23027,56,680,15,3,3,757,gen25ac
23028,145,364,24,0,2,535,gen25ac
23029,9,839,12,2,0,862,gen25ac
23030,87,603,26,2,1,719,gen25ac
23031,56,232,8,2,0,298,gen25ac
23032,47,249,16,0,0,312,gen25ac
23033,66,410,215,0,0,691,gen25ac
23034,65,334,226,0,0,625,gen25ac
23035,45,361,211,0,0,617,gen25ac
23036,127,483,267,0,2,879,gen25ac
23037,171,389,287,1,4,852,gen25ac
23038,91,390,220,0,2,703,gen25ac
23039,3,6,0,0,0,9,gen25ac
23040,159,103,38,0,3,303,gen25zm
23041,39,56,38,0,0,133,gen25ac
23042,112,115,45,0,3,275,gen25ac
23043,12,7,0,0,0,19,gen25zm
23044,197,526,219,0,6,948,gen25ac
23045,95,333,159,1,1,589,gen25ac
23046,197,150,68,0,3,418,gen25zm
23047,164,238,135,1,3,541,gen25ac
23048,186,297,157,0,1,641,gen25ac
23049,242,313,128,0,1,684,gen25ac
23050,63,53,30,0,0,146,gen25zm
23051,185,147,51,1,4,388,gen25zm
23052,149,77,23,0,1,250,gen25zm
23053,298,89,22,1,1,411,gen25zm
23054,272,82,26,0,0,380,gen25zm
23055,90,45,19,0,0,154,gen25zm
23056,116,83,24,1,1,225,gen25zm
23057,157,96,45,2,0,300,gen25zm
23058,58,226,163,1,1,449,gen25ac
23059,19,166,86,0,0,271,gen25ac
23060,60,75,65,1,0,201,gen25ac
23061,0,0,0,0,0,0,Tie
23062,218,179,56,0,2,455,gen25zm
23063,99,91,17,1,2,210,gen25zm
23064,50,36,5,0,0,91,gen25zm
23065,163,100,13,2,2,280,gen25zm
23066,121,168,5,4,4,302,gen25ac
23067,0,0,0,0,0,0,Tie
23068,0,0,0,0,0,0,Tie
23069,0,0,0,0,0,0,Tie
23070,0,0,0,0,0,0,Tie
23071,0,0,0,0,0,0,Tie
23072,0,0,0,0,0,0,Tie
23073,0,0,0,0,0,0,Tie
23074,0,0,0,0,0,0,Tie
24001,95,40,16,0,1,152,gen25zm
24002,114,87,16,0,3,220,gen25zm
24003,289,153,43,0,7,492,gen25zm
24004,211,114,32,1,0,358,gen25zm
24005,167,136,19,1,0,323,gen25zm
24006,262,148,43,1,2,456,gen25zm
24007,194,110,38,2,1,345,gen25zm
24008,189,90,28,0,1,308,gen25zm
24009,164,99,13,0,0,276,gen25zm
24010,243,138,27,2,2,412,gen25zm
24011,207,114,20,1,2,344,gen25zm
24012,223,91,19,1,2,336,gen25zm
24013,290,158,26,1,2,477,gen25zm
24014,249,160,49,1,1,460,gen25zm
24015,48,38,8,0,0,94,gen25zm
24016,125,84,13,1,0,223,gen25zm
24017,20,0,0,0,0,20,gen25zm
24018,171,86,37,1,0,295,gen25zm
24019,252,127,41,1,1,422,gen25zm
24020,69,57,5,0,1,132,gen25zm
24021,147,194,53,2,1,397,gen25ac
24022,19,47,10,0,0,76,gen25ac
24023,166,111,13,0,1,291,gen25zm
24024,149,198,26,1,6,380,gen25ac
24025,78,72,24,0,0,174,gen25zm
24026,169,100,31,0,2,302,gen25zm
24027,90,20,4,0,0,114,gen25zm
24028,153,130,29,2,0,314,gen25zm
24029,125,74,21,0,0,220,gen25zm
24030,66,49,5,1,0,121,gen25zm
24031,145,151,43,1,1,341,gen25ac
24032,118,71,18,2,0,209,gen25zm
24033,5,5,1,0,0,11,Tie
24034,20,8,1,0,0,29,gen25zm
24035,53,30,5,0,0,88,gen25zm
24036,177,95,18,1,2,293,gen25zm
24037,150,37,9,1,1,198,gen25zm
24038,211,102,14,1,3,331,gen25zm
24039,137,101,24,0,1,263,gen25zm
24040,49,22,3,0,1,75,gen25zm
24041,69,18,8,0,0,95,gen25zm
24042,324,83,10,1,0,418,gen25zm
24043,126,26,27,0,1,180,gen25zm
24044,134,7,3,1,0,145,gen25zm
24045,33,14,2,0,0,49,gen25zm
24046,135,41,22,0,0,198,gen25zm
24047,143,78,14,0,2,237,gen25zm
24048,122,100,10,1,1,234,gen25zm
24049,90,941,46,0,1,1078,gen25ac
24050,3,109,12,0,0,124,gen25ac
24051,112,158,25,0,2,297,gen25ac
24052,114,144,15,1,0,274,gen25ac
24053,99,85,5,2,3,194,gen25zm
24054,16,9,1,0,0,26,gen25zm
24055,220,154,18,1,0,393,gen25zm
24056,264,275,74,0,7,620,gen25ac
24057,238,176,69,2,1,486,gen25zm
24058,86,255,32,0,0,373,gen25ac
24059,62,184,26,0,0,272,gen25ac
24060,88,214,67,0,3,372,gen25ac
24061,96,126,47,0,0,269,gen25ac
24062,37,133,45,0,1,216,gen25ac
24063,40,70,38,1,1,150,gen25ac
24064,180,381,119,1,2,683,gen25ac
24065,232,46,7,0,0,285,gen25zm
24066,0,0,0,0,0,0,Tie
25001,141,130,19,2,4,296,gen25zm
25002,248,238,41,3,5,535,gen25zm
25003,32,100,10,0,0,142,gen25ac
25004,81,56,16,1,1,155,gen25zm
25005,172,144,28,0,4,348,gen25zm
25006,123,170,27,1,1,322,gen25ac
25007,20,40,6,1,0,67,gen25ac
25008,20,22,6,0,0,48,gen25ac
25009,179,412,37,1,4,633,gen25ac
25010,29,51,10,0,0,90,gen25ac
25011,89,389,27,0,0,505,gen25ac
25012,192,652,58,0,3,905,gen25ac
25013,147,390,43,2,2,584,gen25ac
25014,128,322,26,1,3,480,gen25ac
25015,48,89,15,0,2,154,gen25ac
25016,95,351,23,1,3,473,gen25ac
25017,73,219,39,1,0,332,gen25ac
25018,111,91,20,0,3,225,gen25zm
25019,104,88,20,0,1,213,gen25zm
25020,94,82,22,0,4,202,gen25zm
25021,220,220,52,4,1,497,Tie
25022,195,258,64,1,6,524,gen25ac
25023,118,219,29,1,3,370,gen25ac
25024,128,241,58,0,3,430,gen25ac
25025,220,375,107,0,7,709,gen25ac
25026,179,408,103,1,3,694,gen25ac
25027,211,344,72,2,3,632,gen25ac
25028,206,240,64,2,4,516,gen25ac
25029,204,396,65,0,5,670,gen25ac
25030,156,340,65,1,0,562,gen25ac
25031,148,233,55,0,2,438,gen25ac
25032,39,41,11,0,0,91,gen25ac
25033,78,141,81,0,0,300,gen25ac
25034,126,273,51,4,5,459,gen25ac
25035,154,218,54,3,1,430,gen25ac
25036,154,233,98,1,1,487,gen25ac
25037,133,197,33,0,1,364,gen25ac
25038,73,121,29,0,1,224,gen25ac
25039,70,69,23,0,3,165,gen25zm
25040,76,76,33,0,1,186,Tie
25041,120,151,37,2,2,312,gen25ac
25042,218,198,46,0,5,467,gen25zm
25043,157,236,64,4,1,462,gen25ac
25044,206,222,42,0,7,477,gen25ac
25045,40,27,15,1,0,83,gen25zm
25046,146,162,36,1,3,348,gen25ac
25047,41,45,14,1,3,104,gen25ac
25048,0,0,0,0,0,0,Tie
25049,0,0,0,0,0,0,Tie
26001,66,41,18,0,0,125,gen25zm
26002,72,44,8,1,1,126,gen25zm
26003,43,17,4,0,0,64,gen25zm
26004,141,118,35,0,0,294,gen25zm
26005,7,6,4,1,0,18,gen25zm
26006,180,268,53,1,3,505,gen25ac
26007,128,142,48,1,3,322,gen25ac
26008,81,153,49,1,0,284,gen25ac
26009,109,59,15,1,1,185,gen25zm
26010,21,123,8,0,1,153,gen25ac
26011,9,92,11,0,0,112,gen25ac
26012,118,196,78,3,2,397,gen25ac
26013,102,125,59,0,0,286,gen25ac
26014,107,94,31,2,1,235,gen25zm
26015,154,124,35,0,0,313,gen25zm
26016,186,429,73,1,2,691,gen25ac
26017,196,472,114,0,3,785,gen25ac
26018,160,237,60,1,4,462,gen25ac
26019,78,176,41,1,1,297,gen25ac
26020,219,439,128,1,6,793,gen25ac
26021,182,533,117,1,2,835,gen25ac
26022,220,564,105,2,8,899,gen25ac
26023,242,386,110,3,2,743,gen25ac
26024,275,523,110,0,4,912,gen25ac
26025,149,328,74,0,0,551,gen25ac
26026,155,432,58,0,7,652,gen25ac
26027,38,80,13,0,1,132,gen25ac
26028,186,336,84,0,1,607,gen25ac
26029,108,257,60,1,3,429,gen25ac
26030,2,8,1,0,0,11,gen25ac
26031,211,393,90,3,6,703,gen25ac
26032,256,308,97,2,3,666,gen25ac
26033,260,404,138,0,5,807,gen25ac
26034,237,487,129,0,8,861,gen25ac
26035,155,273,80,4,6,518,gen25ac
