aded25,gen21tot,gen21ea,gen21cs,gen21othr,win21,rvtot25,rvactive725,rvhisp,rvjwsh,rvirit,rvmslm,rvchns,rvgopnop,cvapnhw,cvapblack,cvaphisp,cvapasian,acsbaplus,acsmedinc125,acsmedinc45,ascown,ascrent,cvapyouth,cvapsenior,djt2024,ea2021,cs2021,bikelanefilter
23001,827.821,138.148,615.63,74.043,Curtis Sliwa,1656,1519,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
23002,592.539,91.073,451.151,50.315,Curtis Sliwa,1668,1477,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
23003,594.807,95.948,458.626,40.234,Curtis Sliwa,571,508,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1
23004,734.767,205.008,508.18,21.579,Curtis Sliwa,1705,1515,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1
23005,754.791,185.812,542.54,26.439,Curtis Sliwa,1632,1461,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
23006,920.043,237.397,634.919,47.727,Curtis Sliwa,1603,1441,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
23007,769.889,195.766,533.476,40.647,Curtis Sliwa,1778,1604,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23008,700.866,209.291,441.678,49.897,Curtis Sliwa,1499,1278,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23009,375.2,153.815,199.223,22.162,Curtis Sliwa,1277,1020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1
23010,524.476,182.924,311.413,30.139,Curtis Sliwa,1731,1550,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1
23011,613.308,269.174,311.767,32.366,Curtis Sliwa,1535,1264,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
23012,160.472,75.977,74.701,9.793,Eric Adams,550,435,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
23013,606.169,319.384,250.321,36.465,Eric Adams,1249,1046,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
23014,311.812,149.923,153.153,8.736,Curtis Sliwa,1091,930,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1
23015,358.259,180.617,168,9.641,Eric Adams,1437,1168,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1
23016,250.832,139.906,104.93,5.996,Eric Adams,824,668,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1
23017,461,67,371,23,Curtis Sliwa,949,838,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23018,326.769,216.628,96.107,14.035,Eric Adams,1186,1072,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
23019,59.664,49.664,9,1,Eric Adams,320,265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
23020,244.905,197.717,42.422,4.766,Eric Adams,914,658,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
23021,296.462,240.705,48.535,7.223,Eric Adams,1212,916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
23022,123.562,107.229,11.362,4.971,Eric Adams,709,521,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
23023,22.708,15.143,7.315,0.25,Eric Adams,847,650,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1
23024,119.822,108.79,10.304,0.729,Eric Adams,711,603,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1
23025,298.899,207.785,84.108,7.005,Eric Adams,1647,1281,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
23026,260.551,205.961,51.352,3.237,Eric Adams,766,660,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1
23027,417.365,273.283,137.816,6.266,Eric Adams,1286,1049,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1
23028,224.964,155.201,65.856,3.908,Eric Adams,1291,1036,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1
23029,512.608,316.056,192.881,3.671,Eric Adams,1304,1059,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0
23030,345.129,207.979,131.851,5.299,Eric Adams,1497,1144,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
23031,360.397,254.922,95.001,10.473,Eric Adams,1563,1216,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
23032,542.117,322.586,199.778,19.754,Eric Adams,1740,1411,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0
23033,1040.657,215.859,785.23,39.567,Curtis Sliwa,1721,1502,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1
23034,558.865,84.784,449.997,24.084,Curtis Sliwa,1428,1289,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
23035,607.916,112.118,469.801,25.997,Curtis Sliwa,1353,1212,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1
23036,724.595,98.803,598.463,27.329,Curtis Sliwa,1552,1356,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23037,730.925,131.834,564.998,34.094,Curtis Sliwa,1653,1418,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
23038,470.534,90.32,363.615,16.599,Curtis Sliwa,1414,1196,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
23039,15.604,8.777,6.827,0,Eric Adams,164,127,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
23040,180.371,92.642,84.81,2.919,Eric Adams,1143,894,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
23041,448.092,147.395,283.601,17.097,Curtis Sliwa,1251,1000,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
23042,217.626,84.389,125.663,7.574,Curtis Sliwa,991,775,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0
23043,8.408,3.205,5.036,0.166,Curtis Sliwa,26,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
23044,559.197,223.316,314.356,21.526,Curtis Sliwa,1718,1521,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
23045,480.724,170.524,299.809,10.391,Curtis Sliwa,1101,969,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23046,404.68,184.688,199.219,20.772,Curtis Sliwa,1862,1493,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
23047,69.016,27.358,37.928,3.731,Curtis Sliwa,1268,1059,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1
23048,460.23,169.652,273.708,16.87,Curtis Sliwa,1340,1143,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23049,404.978,174.119,216.931,13.928,Curtis Sliwa,1666,1384,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
