aded25,gen25tot,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,win25
23001,0,0,0,0,0,0,Andrew Cuomo
23002,0,0,0,0,0,0,Andrew Cuomo
23003,0,0,0,0,0,0,Eric Adams
23004,0,0,0,0,0,0,Andrew Cuomo
23005,0,0,0,0,0,0,Andrew Cuomo
23006,0,0,0,0,0,0,Andrew Cuomo
23007,0,0,0,0,0,0,Andrew Cuomo
23008,0,0,0,0,0,0,Zohran Mamdani
23009,0,0,0,0,0,0,Zohran Mamdani
23010,0,0,0,0,0,0,Andrew Cuomo
23011,0,0,0,0,0,0,Zohran Mamdani
23012,0,0,0,0,0,0,Zohran Mamdani
23013,0,0,0,0,0,0,Zohran Mamdani
23014,0,0,0,0,0,0,Andrew Cuomo
23015,0,0,0,0,0,0,Andrew Cuomo
23016,0,0,0,0,0,0,Zohran Mamdani
23017,0,0,0,0,0,0,Andrew Cuomo
23018,0,0,0,0,0,0,Zohran Mamdani
23019,0,0,0,0,0,0,Zohran Mamdani
23020,0,0,0,0,0,0,Andrew Cuomo
23021,0,0,0,0,0,0,Andrew Cuomo
23022,0,0,0,0,0,0,Andrew Cuomo
23023,0,0,0,0,0,0,Andrew Cuomo
23024,0,0,0,0,0,0,Andrew Cuomo
23025,0,0,0,0,0,0,Andrew Cuomo
23026,0,0,0,0,0,0,Andrew Cuomo
23027,0,0,0,0,0,0,Andrew Cuomo
23028,0,0,0,0,0,0,Andrew Cuomo
23029,0,0,0,0,0,0,Andrew Cuomo
23030,0,0,0,0,0,0,Andrew Cuomo
23031,0,0,0,0,0,0,Andrew Cuomo
23032,0,0,0,0,0,0,Andrew Cuomo
23033,0,0,0,0,0,0,Andrew Cuomo
23034,0,0,0,0,0,0,Andrew Cuomo
23035,0,0,0,0,0,0,Andrew Cuomo
23036,0,0,0,0,0,0,Zohran Mamdani
23037,0,0,0,0,0,0,Zohran Mamdani
23038,0,0,0,0,0,0,Andrew Cuomo
23039,0,0,0,0,0,0,Zohran Mamdani
23040,0,0,0,0,0,0,Zohran Mamdani
23041,0,0,0,0,0,0,Zohran Mamdani
23042,0,0,0,0,0,0,Zohran Mamdani
23043,0,0,0,0,0,0,Zohran Mamdani
23044,0,0,0,0,0,0,Andrew Cuomo
23045,0,0,0,0,0,0,Andrew Cuomo
23046,0,0,0,0,0,0,Zohran Mamdani
23047,0,0,0,0,0,0,Zohran Mamdani
23048,0,0,0,0,0,0,Zohran Mamdani
23049,0,0,0,0,0,0,Zohran Mamdani
23050,0,0,0,0,0,0,Zohran Mamdani
23051,0,0,0,0,0,0,Zohran Mamdani
23052,0,0,0,0,0,0,Zohran Mamdani
23053,0,0,0,0,0,0,Zohran Mamdani
23054,0,0,0,0,0,0,Zohran Mamdani
23055,0,0,0,0,0,0,Zohran Mamdani
23056,0,0,0,0,0,0,Zohran Mamdani
23057,0,0,0,0,0,0,Zohran Mamdani
23058,0,0,0,0,0,0,Zohran Mamdani
23059,0,0,0,0,0,0,Andrew Cuomo
23060,0,0,0,0,0,0,Zohran Mamdani
23061,0,0,0,0,0,0,Zohran Mamdani
23062,0,0,0,0,0,0,Zohran Mamdani
23063,0,0,0,0,0,0,Zohran Mamdani
23064,0,0,0,0,0,0,Zohran Mamdani
23065,0,0,0,0,0,0,Andrew Cuomo
23066,0,0,0,0,0,0,Andrew Cuomo
23067,0,0,0,0,0,0,Zohran Mamdani
23068,0,0,0,0,0,0,Zohran Mamdani
23069,0,0,0,0,0,0,Zohran Mamdani
23070,0,0,0,0,0,0,Curtis Sliwa
23071,0,0,0,0,0,0,Curtis Sliwa
23072,0,0,0,0,0,0,Curtis Sliwa
23073,0,0,0,0,0,0,Curtis Sliwa
23074,0,0,0,0,0,0,Curtis Sliwa
24001,0,0,0,0,0,0,Zohran Mamdani
24002,0,0,0,0,0,0,Zohran Mamdani
24003,0,0,0,0,0,0,Zohran Mamdani
24004,0,0,0,0,0,0,Zohran Mamdani
24005,0,0,0,0,0,0,Zohran Mamdani
24006,0,0,0,0,0,0,Zohran Mamdani
24007,0,0,0,0,0,0,Zohran Mamdani
24008,0,0,0,0,0,0,Zohran Mamdani
24009,0,0,0,0,0,0,Zohran Mamdani
24010,0,0,0,0,0,0,Zohran Mamdani
24011,0,0,0,0,0,0,Zohran Mamdani
24012,0,0,0,0,0,0,Zohran Mamdani
24013,0,0,0,0,0,0,Zohran Mamdani
24014,0,0,0,0,0,0,Zohran Mamdani
24015,0,0,0,0,0,0,Zohran Mamdani
24016,0,0,0,0,0,0,Zohran Mamdani
24017,0,0,0,0,0,0,Zohran Mamdani
24018,0,0,0,0,0,0,Zohran Mamdani
24019,0,0,0,0,0,0,Zohran Mamdani
24020,0,0,0,0,0,0,Zohran Mamdani
24021,0,0,0,0,0,0,Zohran Mamdani
24022,0,0,0,0,0,0,Curtis Sliwa
24023,0,0,0,0,0,0,Zohran Mamdani
24024,0,0,0,0,0,0,Zohran Mamdani
24025,0,0,0,0,0,0,Zohran Mamdani
24026,0,0,0,0,0,0,Zohran Mamdani
24027,0,0,0,0,0,0,Zohran Mamdani
24028,0,0,0,0,0,0,Zohran Mamdani
24029,0,0,0,0,0,0,Zohran Mamdani
24030,0,0,0,0,0,0,Zohran Mamdani
24031,0,0,0,0,0,0,Zohran Mamdani
24032,0,0,0,0,0,0,Zohran Mamdani
24033,0,0,0,0,0,0,Curtis Sliwa
24034,0,0,0,0,0,0,Zohran Mamdani
24035,0,0,0,0,0,0,Zohran Mamdani
24036,0,0,0,0,0,0,Zohran Mamdani
24037,0,0,0,0,0,0,Zohran Mamdani
24038,0,0,0,0,0,0,Zohran Mamdani
24039,0,0,0,0,0,0,Zohran Mamdani
24040,0,0,0,0,0,0,Zohran Mamdani
24041,0,0,0,0,0,0,Zohran Mamdani
24042,0,0,0,0,0,0,Zohran Mamdani
24043,0,0,0,0,0,0,Zohran Mamdani
24044,0,0,0,0,0,0,Zohran Mamdani
24045,0,0,0,0,0,0,Zohran Mamdani
24046,0,0,0,0,0,0,Zohran Mamdani
24047,0,0,0,0,0,0,Zohran Mamdani
24048,0,0,0,0,0,0,Zohran Mamdani
24049,0,0,0,0,0,0,Andrew Cuomo
24050,0,0,0,0,0,0,Andrew Cuomo
24051,0,0,0,0,0,0,Andrew Cuomo
24052,0,0,0,0,0,0,Andrew Cuomo
24053,0,0,0,0,0,0,Andrew Cuomo
24054,0,0,0,0,0,0,Zohran Mamdani
24055,0,0,0,0,0,0,Zohran Mamdani
24056,0,0,0,0,0,0,Zohran Mamdani
24057,0,0,0,0,0,0,Zohran Mamdani
24058,0,0,0,0,0,0,Andrew Cuomo
24059,0,0,0,0,0,0,Andrew Cuomo
24060,0,0,0,0,0,0,Andrew Cuomo
24061,0,0,0,0,0,0,Zohran Mamdani
24062,0,0,0,0,0,0,Andrew Cuomo
24063,0,0,0,0,0,0,Andrew Cuomo
24064,0,0,0,0,0,0,Zohran Mamdani
24065,0,0,0,0,0,0,Zohran Mamdani
24066,0,0,0,0,0,0,Curtis Sliwa
25001,0,0,0,0,0,0,Zohran Mamdani
25002,0,0,0,0,0,0,Zohran Mamdani
25003,0,0,0,0,0,0,Tie
25004,0,0,0,0,0,0,Zohran Mamdani
25005,0,0,0,0,0,0,Zohran Mamdani
25006,0,0,0,0,0,0,Zohran Mamdani
25007,0,0,0,0,0,0,Curtis Sliwa
25008,0,0,0,0,0,0,Curtis Sliwa
25009,0,0,0,0,0,0,Andrew Cuomo
25010,0,0,0,0,0,0,Zohran Mamdani
25011,0,0,0,0,0,0,Andrew Cuomo
25012,0,0,0,0,0,0,Andrew Cuomo
25013,0,0,0,0,0,0,Zohran Mamdani
25014,0,0,0,0,0,0,Andrew Cuomo
25015,0,0,0,0,0,0,Zohran Mamdani
25016,0,0,0,0,0,0,Andrew Cuomo
25017,0,0,0,0,0,0,Andrew Cuomo
25018,0,0,0,0,0,0,Andrew Cuomo
25019,0,0,0,0,0,0,Zohran Mamdani
25020,0,0,0,0,0,0,Zohran Mamdani
25021,0,0,0,0,0,0,Zohran Mamdani
25022,0,0,0,0,0,0,Zohran Mamdani
25023,0,0,0,0,0,0,Zohran Mamdani
25024,0,0,0,0,0,0,Zohran Mamdani
25025,0,0,0,0,0,0,Zohran Mamdani
25026,0,0,0,0,0,0,Andrew Cuomo
25027,0,0,0,0,0,0,Zohran Mamdani
25028,0,0,0,0,0,0,Zohran Mamdani
25029,0,0,0,0,0,0,Zohran Mamdani
25030,0,0,0,0,0,0,Zohran Mamdani
25031,0,0,0,0,0,0,Zohran Mamdani
25032,0,0,0,0,0,0,Zohran Mamdani
25033,0,0,0,0,0,0,Zohran Mamdani
25034,0,0,0,0,0,0,Zohran Mamdani
25035,0,0,0,0,0,0,Zohran Mamdani
25036,0,0,0,0,0,0,Zohran Mamdani
25037,0,0,0,0,0,0,Zohran Mamdani
25038,0,0,0,0,0,0,Zohran Mamdani
25039,0,0,0,0,0,0,Zohran Mamdani
25040,0,0,0,0,0,0,Zohran Mamdani
25041,0,0,0,0,0,0,Zohran Mamdani
25042,0,0,0,0,0,0,Zohran Mamdani
25043,0,0,0,0,0,0,Andrew Cuomo
25044,0,0,0,0,0,0,Zohran Mamdani
25045,0,0,0,0,0,0,Zohran Mamdani
25046,0,0,0,0,0,0,Zohran Mamdani
25047,0,0,0,0,0,0,Zohran Mamdani
25048,0,0,0,0,0,0,Curtis Sliwa
25049,0,0,0,0,0,0,Zohran Mamdani
26001,0,0,0,0,0,0,Zohran Mamdani
26002,0,0,0,0,0,0,Zohran Mamdani
26003,0,0,0,0,0,0,Zohran Mamdani
26004,0,0,0,0,0,0,Zohran Mamdani
26005,0,0,0,0,0,0,Zohran Mamdani
26006,0,0,0,0,0,0,Zohran Mamdani
26007,0,0,0,0,0,0,Zohran Mamdani
26008,0,0,0,0,0,0,Andrew Cuomo
26009,0,0,0,0,0,0,Zohran Mamdani
26010,0,0,0,0,0,0,Andrew Cuomo
26011,0,0,0,0,0,0,Andrew Cuomo
26012,0,0,0,0,0,0,Andrew Cuomo
26013,0,0,0,0,0,0,Zohran Mamdani
26014,0,0,0,0,0,0,Zohran Mamdani
26015,0,0,0,0,0,0,Zohran Mamdani
26016,0,0,0,0,0,0,Zohran Mamdani
26017,0,0,0,0,0,0,Andrew Cuomo
26018,0,0,0,0,0,0,Zohran Mamdani
26019,0,0,0,0,0,0,Zohran Mamdani
26020,0,0,0,0,0,0,Zohran Mamdani
26021,0,0,0,0,0,0,Andrew Cuomo
26022,0,0,0,0,0,0,Zohran Mamdani
26023,0,0,0,0,0,0,Zohran Mamdani
26024,0,0,0,0,0,0,Andrew Cuomo
26025,0,0,0,0,0,0,Zohran Mamdani
26026,0,0,0,0,0,0,Zohran Mamdani
26027,0,0,0,0,0,0,Zohran Mamdani
26028,0,0,0,0,0,0,Zohran Mamdani
26029,0,0,0,0,0,0,Zohran Mamdani
26030,0,0,0,0,0,0,Zohran Mamdani
26031,0,0,0,0,0,0,Zohran Mamdani
26032,0,0,0,0,0,0,Zohran Mamdani
26033,0,0,0,0,0,0,Zohran Mamdani
26034,0,0,0,0,0,0,Zohran Mamdani
26035,0,0,0,0,0,0,Zohran Mamdani
26036,0,0,0,0,0,0,Zohran Mamdani
26037,0,0,0,0,0,0,Zohran Mamdani
26038,0,0,0,0,0,0,Andrew Cuomo
26039,0,0,0,0,0,0,Zohran Mamdani
26040,0,0,0,0,0,0,Andrew Cuomo
26041,0,0,0,0,0,0,Andrew Cuomo
26042,0,0,0,0,0,0,Andrew Cuomo
26043,0,0,0,0,0,0,Andrew Cuomo
26044,0,0,0,0,0,0,Andrew Cuomo
26045,0,0,0,0,0,0,Andrew Cuomo
26046,0,0,0,0,0,0,Andrew Cuomo
26047,0,0,0,0,0,0,Zohran Mamdani
26048,0,0,0,0,0,0,Zohran Mamdani
26049,0,0,0,0,0,0,Zohran Mamdani
26050,0,0,0,0,0,0,Andrew Cuomo
26051,0,0,0,0,0,0,Zohran Mamdani
26052,0,0,0,0,0,0,Zohran Mamdani
26053,0,0,0,0,0,0,Zohran Mamdani
26054,0,0,0,0,0,0,Zohran Mamdani
26055,0,0,0,0,0,0,Zohran Mamdani
26056,0,0,0,0,0,0,Zohran Mamdani
26057,0,0,0,0,0,0,Zohran Mamdani
26058,0,0,0,0,0,0,Zohran Mamdani
26059,0,0,0,0,0,0,Zohran Mamdani
26060,0,0,0,0,0,0,Zohran Mamdani
26061,0,0,0,0,0,0,Zohran Mamdani
26062,0,0,0,0,0,0,Zohran Mamdani
26063,0,0,0,0,0,0,Zohran Mamdani
26064,0,0,0,0,0,0,Zohran Mamdani
26065,0,0,0,0,0,0,Zohran Mamdani
27001,0,0,0,0,0,0,Zohran Mamdani
27002,0,0,0,0,0,0,Zohran Mamdani
27003,0,0,0,0,0,0,Zohran Mamdani
27004,0,0,0,0,0,0,Zohran Mamdani
27005,0,0,0,0,0,0,Zohran Mamdani
27006,0,0,0,0,0,0,Zohran Mamdani
27007,0,0,0,0,0,0,Zohran Mamdani
27008,0,0,0,0,0,0,Zohran Mamdani
27009,0,0,0,0,0,0,Andrew Cuomo
27010,0,0,0,0,0,0,Zohran Mamdani
27011,0,0,0,0,0,0,Zohran Mamdani
27012,0,0,0,0,0,0,Andrew Cuomo
27013,0,0,0,0,0,0,Zohran Mamdani
27014,0,0,0,0,0,0,Andrew Cuomo
27015,0,0,0,0,0,0,Andrew Cuomo
27016,0,0,0,0,0,0,Andrew Cuomo
27017,0,0,0,0,0,0,Zohran Mamdani
27018,0,0,0,0,0,0,Andrew Cuomo
27019,0,0,0,0,0,0,Zohran Mamdani
27020,0,0,0,0,0,0,Andrew Cuomo
27021,0,0,0,0,0,0,Andrew Cuomo
27022,0,0,0,0,0,0,Andrew Cuomo
27023,0,0,0,0,0,0,Andrew Cuomo
27024,0,0,0,0,0,0,Andrew Cuomo
27025,0,0,0,0,0,0,Andrew Cuomo
27026,0,0,0,0,0,0,Zohran Mamdani
27027,0,0,0,0,0,0,Andrew Cuomo
27028,0,0,0,0,0,0,Andrew Cuomo
27029,0,0,0,0,0,0,Andrew Cuomo
27030,0,0,0,0,0,0,Andrew Cuomo
27031,0,0,0,0,0,0,Zohran Mamdani
27032,0,0,0,0,0,0,Zohran Mamdani
27033,0,0,0,0,0,0,Zohran Mamdani
27034,0,0,0,0,0,0,Zohran Mamdani
27035,0,0,0,0,0,0,Zohran Mamdani
27036,0,0,0,0,0,0,Zohran Mamdani
27037,0,0,0,0,0,0,Zohran Mamdani
27038,0,0,0,0,0,0,Zohran Mamdani
27039,0,0,0,0,0,0,Zohran Mamdani
27040,0,0,0,0,0,0,Zohran Mamdani
27041,0,0,0,0,0,0,Zohran Mamdani
27042,0,0,0,0,0,0,Andrew Cuomo
27043,0,0,0,0,0,0,Zohran Mamdani
27044,0,0,0,0,0,0,Andrew Cuomo
27045,0,0,0,0,0,0,Andrew Cuomo
27046,0,0,0,0,0,0,Zohran Mamdani
27047,0,0,0,0,0,0,Zohran Mamdani
27048,0,0,0,0,0,0,Zohran Mamdani
27049,0,0,0,0,0,0,Zohran Mamdani
27050,0,0,0,0,0,0,Zohran Mamdani
27051,0,0,0,0,0,0,Andrew Cuomo
27052,0,0,0,0,0,0,Eric Adams
27053,0,0,0,0,0,0,Eric Adams
27054,0,0,0,0,0,0,Eric Adams
27055,0,0,0,0,0,0,Eric Adams
27056,0,0,0,0,0,0,Eric Adams
27057,0,0,0,0,0,0,Eric Adams
27058,0,0,0,0,0,0,Eric Adams
27059,0,0,0,0,0,0,Eric Adams
27060,0,0,0,0,0,0,Eric Adams
27061,0,0,0,0,0,0,Eric Adams
27062,0,0,0,0,0,0,Eric Adams
27063,0,0,0,0,0,0,Eric Adams
27064,0,0,0,0,0,0,Eric Adams
27065,0,0,0,0,0,0,Eric Adams
27066,0,0,0,0,0,0,Eric Adams
27067,0,0,0,0,0,0,Eric Adams
