aded25,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,gen25tot,win25
23001,33,217,146,0,4,400,gen25ac
23002,33,166,144,0,1,344,gen25ac
23003,11,49,71,0,1,132,gen25cs
23004,61,421,136,3,2,623,gen25ac
23005,45,349,138,0,3,535,gen25ac
23006,57,309,169,0,3,538,gen25ac
23007,75,288,246,4,5,618,gen25ac
23008,80,167,128,0,2,377,gen25ac
23009,76,97,55,0,1,229,gen25ac
23010,61,130,95,0,0,286,gen25ac
23011,106,82,24,3,1,216,gen25zm
23012,54,30,12,2,1,99,gen25zm
23013,100,65,44,0,2,211,gen25zm
23014,32,46,49,0,2,129,gen25cs
23015,58,80,55,1,1,195,gen25ac
23016,43,40,24,0,1,108,gen25zm
23017,15,44,41,0,1,101,gen25ac
23018,208,139,43,2,1,393,gen25zm
23019,22,13,2,0,2,39,gen25zm
23020,23,18,4,2,1,48,gen25zm
23021,59,183,14,2,5,263,gen25ac
23022,32,23,4,0,0,59,gen25zm
23023,14,17,3,1,1,36,gen25ac
23024,28,27,3,0,0,58,gen25zm
23025,72,207,8,3,1,291,gen25ac
23026,11,26,0,3,1,41,gen25ac
23027,17,338,7,1,3,366,gen25ac
23028,54,213,15,0,1,283,gen25ac
23029,4,547,7,1,0,559,gen25ac
23030,28,344,11,0,0,383,gen25ac
23031,56,232,8,2,0,298,gen25ac
23032,47,249,16,0,0,312,gen25ac
23033,37,242,155,0,0,434,gen25ac
23034,37,174,171,0,0,382,gen25ac
23035,18,204,169,0,0,391,gen25ac
23036,27,122,139,0,0,288,gen25cs
23037,64,107,107,0,0,278,Tie
23038,31,140,111,0,0,282,gen25ac
23039,3,6,0,0,0,9,gen25ac
23040,67,53,16,0,3,139,gen25zm
23041,39,56,38,0,0,133,gen25ac
23042,40,21,20,0,1,82,gen25zm
23043,1,1,0,0,0,2,Tie
23044,64,220,117,0,3,404,gen25ac
23045,34,151,92,1,0,278,gen25ac
23046,107,66,52,0,2,227,gen25zm
23047,54,92,79,0,3,228,gen25ac
23048,48,93,74,0,1,216,gen25ac
23049,67,80,65,0,1,213,gen25ac
23050,26,25,20,0,0,71,gen25zm
23051,30,17,13,0,2,62,gen25zm
23052,51,15,7,0,0,73,gen25zm
23053,113,46,14,0,0,173,gen25zm
23054,86,17,5,0,0,108,gen25zm
23055,17,8,4,0,0,29,gen25zm
23056,13,20,7,1,0,41,gen25ac
23057,38,20,17,0,0,75,gen25zm
23058,18,24,32,0,0,74,gen25cs
23059,10,92,64,0,0,166,gen25ac
23060,60,75,65,1,0,201,gen25ac
23061,0,0,0,0,0,0,Tie
23062,61,50,21,0,0,132,gen25zm
23063,37,43,10,0,1,91,gen25ac
23064,17,7,2,0,0,26,gen25zm
23065,78,44,10,1,1,134,gen25zm
23066,57,117,1,4,2,181,gen25ac
23067,0,0,0,0,0,0,Tie
23068,0,0,0,0,0,0,Tie
23069,0,0,0,0,0,0,Tie
23070,0,0,0,0,0,0,Tie
23071,0,0,0,0,0,0,Tie
23072,0,0,0,0,0,0,Tie
23073,0,0,0,0,0,0,Tie
23074,0,0,0,0,0,0,Tie
24001,27,8,2,0,0,37,gen25zm
24002,17,17,5,0,2,41,Tie
24003,77,33,19,0,3,132,gen25zm
24004,54,26,19,0,0,99,gen25zm
24005,51,36,6,0,0,93,gen25zm
24006,55,24,9,0,0,88,gen25zm
24007,45,35,9,0,0,89,gen25zm
24008,77,36,11,0,0,124,gen25zm
24009,31,19,3,0,0,53,gen25zm
24010,57,29,5,0,1,92,gen25zm
24011,14,27,4,0,1,46,gen25ac
24012,30,13,4,0,0,47,gen25zm
24013,40,10,7,0,1,58,gen25zm
24014,41,18,12,0,0,71,gen25zm
24015,48,38,8,0,0,94,gen25zm
24016,30,19,6,1,0,56,gen25zm
24017,20,0,0,0,0,20,gen25zm
24018,38,14,13,0,0,65,gen25zm
24019,84,64,15,0,0,163,gen25zm
24020,16,13,4,0,0,33,gen25zm
24021,107,159,43,2,0,311,gen25ac
24022,4,16,7,0,0,27,gen25ac
24023,26,20,1,0,0,47,gen25zm
24024,76,112,14,0,2,204,gen25ac
24025,60,54,19,0,0,133,gen25zm
24026,140,75,25,0,2,242,gen25zm
24027,90,20,4,0,0,114,gen25zm
24028,84,76,11,2,0,173,gen25zm
24029,75,43,14,0,0,132,gen25zm
24030,66,49,5,1,0,121,gen25zm
24031,100,121,33,0,1,255,gen25ac
24032,72,56,17,2,0,147,gen25zm
24033,5,5,1,0,0,11,Tie
24034,20,8,1,0,0,29,gen25zm
24035,29,21,5,0,0,55,gen25zm
24036,115,65,13,1,2,196,gen25zm
24037,34,6,0,0,0,40,gen25zm
24038,155,70,9,1,0,235,gen25zm
24039,120,86,18,0,1,225,gen25zm
24040,49,22,3,0,1,75,gen25zm
24041,69,18,8,0,0,95,gen25zm
24042,42,18,4,0,0,64,gen25zm
24043,126,26,27,0,1,180,gen25zm
24044,134,7,3,1,0,145,gen25zm
24045,33,14,2,0,0,49,gen25zm
24046,135,41,22,0,0,198,gen25zm
24047,143,78,14,0,2,237,gen25zm
24048,122,100,10,1,1,234,gen25zm
24049,46,499,28,0,0,573,gen25ac
24050,3,109,12,0,0,124,gen25ac
